Company Name,Person,Email,Primary_Designation,Alternate_Person_Name,Alternate_Email,Alternate_Designation,Website,About,Company_Phone,Company_LinkedIn,Industry,Employees,Revenue,Founded,Country,Primary_Phone,Primary_LinkedIn,Alternate2_Name,Alternate2_Email,Alternate2_Title
Reiss,,,,,,,https://www.reiss.com,"Reiss is a British fashion brand founded in 1971 by David Reiss in London. The company specializes in premium menswear and womenswear, offering sophisticated, contemporary designs with a focus on quality craftsmanship. With over 200 stores globally including flagship locations in London, New York, and Paris, Reiss combines British heritage with modern styling. The brand is known for its tailored clothing, outerwear, and accessories, catering to professionals and fashion-conscious consumers seeking timeless elegance.",+44 20 3075 2000,http://www.linkedin.com/company/reiss,retail,1700,351.5M,1971,United Kingdom,,,,,
COS,,,,,,,https://www.cosstores.com,"COS (Collection of Style) is a Swedish fashion brand launched by H&M Group in 2007. Based in London, COS offers modern, functional, and timeless designs for men, women, and children. The brand emphasizes minimalist aesthetics, quality materials, and sustainable practices. With over 270 stores in 46 countries, COS targets design-conscious consumers seeking wardrobe essentials that transcend seasonal trends. The brand focuses on precise cuts, luxurious fabrics, and versatile pieces suitable for contemporary lifestyles.",+1 410-563-2378,http://www.linkedin.com/company/cos,apparel & fashion,5000,43.2M,2007,United Kingdom,,,,,
Arket,,,,,,,https://www.arket.com,"ARKET is a modern-day market and lifestyle brand from H&M Group, launched in 2017. Headquartered in Stockholm, Sweden, ARKET offers essential clothing, homeware, and café experiences across Europe. The brand combines Scandinavian design with functionality and sustainability, providing timeless wardrobe staples for men, women, children, and babies. With approximately 30 stores and a strong online presence, ARKET emphasizes quality, transparency, and responsible sourcing in its operations.",,http://www.linkedin.com/company/arket,retail,970,346.1M,2017,Sweden,,,,,
& Other Stories,,,,,,,https://www.stories.com,"& Other Stories is a Swedish fashion and beauty brand launched by H&M Group in 2013. Based in Stockholm and Paris, the brand offers curated collections of ready-to-wear, shoes, bags, accessories, jewelry, beauty, and skincare products. With ateliers in Paris and Stockholm, & Other Stories creates versatile, trend-led designs that celebrate individual style. The brand operates over 50 stores worldwide and maintains a strong e-commerce presence, targeting fashion-forward consumers seeking quality and creative expression.",+46 770 93 07 31,http://www.linkedin.com/company/&-other-stories,apparel & fashion,2500,180M,2013,Sweden,,,,,
Weekday,,,,,,,https://www.weekday.com,"Weekday is a Swedish denim and fashion brand launched in 2000, owned by H&M Group. Based in Stockholm, Weekday offers trend-driven, accessible fashion with a strong focus on denim, streetwear, and contemporary designs. The brand operates over 40 stores across Europe and has a significant online presence. Weekday targets young, urban consumers interested in sustainable fashion and self-expression, offering collections that blend Scandinavian simplicity with global street culture influences.",+1 561-844-2408,http://www.linkedin.com/company/weekday,apparel & fashion,700,12.8M,2002,Sweden,,,,,
Monki,,,,,,,https://www.monki.com,"Monki is a Swedish fashion brand founded in 2006 and owned by H&M Group. Based in Stockholm, Monki offers playful, colorful, and trend-focused fashion for women. The brand emphasizes sustainability, inclusivity, and creative expression through its collections of clothing, accessories, and beauty products. With stores across Europe and Asia and a strong digital presence, Monki targets young, socially conscious consumers seeking affordable fashion that makes a statement and supports positive change.",+46 8 446 869 00,http://www.linkedin.com/company/monki,retail,350,4.6M,2006,Sweden,,,,,
Sézane,,,,,,,https://www.sezane.com,"Sézane is a French fashion brand founded in 2013 by Morgane Sézalory in Paris. The brand pioneered the concept of digital-first fashion with permanent and limited-edition collections released monthly. Sézane offers feminine, Parisian-inspired clothing, shoes, and accessories focusing on quality, timeless design, and sustainability. The brand operates several apartments and boutiques in Paris, London, New York, and other cities, combining online and offline retail experiences. Sézane is committed to ethical production and charitable initiatives.",+33 9 74 59 15 00,http://www.linkedin.com/company/sezane,apparel & fashion,350,341.2M,2013,France,,,,,
ba&sh,,,,,,,https://www.ba-sh.com,"ba&sh is a French fashion brand founded in 2003 by childhood friends Barbara Boccara and Sharon Krief in Paris. The brand offers contemporary, feminine ready-to-wear collections characterized by Parisian chic and effortless elegance. ba&sh operates over 300 stores worldwide across Europe, North America, Asia, and the Middle East. The brand focuses on quality craftsmanship, versatile designs, and sustainable practices, targeting modern women seeking sophisticated yet accessible fashion with a distinctive French touch.",,http://www.linkedin.com/company/ba&sh,apparel & fashion,1400,313M,2003,France,,,,,
Claudie Pierlot,,,,,,,https://www.claudiepierlot.com,"Claudie Pierlot is a French fashion brand founded in 1984 in Paris. The brand specializes in feminine, Parisian-style ready-to-wear collections featuring refined silhouettes, quality materials, and timeless elegance. Part of the SMCP group alongside Sandro and Maje, Claudie Pierlot operates over 230 stores globally. The brand targets sophisticated women seeking versatile wardrobe staples that embody French elegance and contemporary design, with a focus on sustainable and responsible fashion practices.",0-808-143-3704,http://www.linkedin.com/company/claudie-pierlot,apparel & fashion,490,711M,1984,France,,,,,
Sandro,,,,,,,https://www.sandro-paris.com,"Sandro is a French contemporary fashion brand founded in 1984 by Evelyne Chetrite in Paris. The brand offers modern, Parisian-inspired collections for men and women, combining classic tailoring with contemporary trends. As part of the SMCP group, Sandro operates over 650 stores worldwide across Europe, North America, Asia, and the Middle East. The brand emphasizes quality craftsmanship, versatile designs, and accessible luxury, targeting fashion-conscious consumers seeking sophisticated yet wearable pieces with distinctive French style.",+1 866-814-1404,http://www.linkedin.com/company/sandro,apparel & fashion,1900,573.9M,1984,France,,,,,
